Words,Synonyms,Synonyms1,In Spanish
Close,Shut, fasten,Cerca
Bashful,Shy, timid,Tímido
Important,Significant, meaningful,Importante
Quiet,Silent, hushed,Tranquilo
Easy,Simple,,Fácil
Classic,Simple, typical,Clásico
Ability,Skill, aptitude,Capacidad
Proficient,Skilled, adept,Competente
Scrawny,Skinny, gaunt,Flaco
Lax,Slack, careless,Flojo
Loose,Slack, limp,Suelto
Servile,Slavish, docile,Servil
Dormant,Sleeping, inactive,Latente
Slim,Slender, thin,Delgado
Smooth,Slick, glossy,Suave
Languid,Sluggish, apathetic,Lánguido
Cry,Sob, weep,Llorar
Dirty,Soiled, messy,Sucio
Lucid,Sound, rational,Lúcido
Defray,Spend, pay,Sufragar
Vivacious,Spirited, energetic,Vivaz
Glorious,Splendid, magnificent,Glorioso
Intermittent,Sporadic, periodic,Intermitente
Beginning,Start, initiate,Comienzo
Merit,Stature, asset,Mérito
Stable,Steady, unchanging,Estable
Cease,Stop, discontinue,Cesar
Deposit,Store, place,Depositar
Eccentric,Strange, abnormal,Excéntrico
Feud,Strife, quarrel,Feudo
Strict,Stringent, severe,Estricto
Obstinate,Stubborn, adamant,Obstinado
Tenacious,Stubborn, dodge,Tenaz
Glut,Stuff, satiate,Exceso
Falter,Stumble, demur,Desfallecer
Dumb,Stupid, dense,Tonto
Quell,Subdue, reduce,Calmar
Immerse,Submerge, involve,Sumergirse
Deduct,Subtract, remove,Deducir
Follow,Succeed, trail,Seguir
Consecutive,Successive, continuous,Consecutivo
Enough,Sufficient, ample,Suficiente
Adequate,Sufficient, enough,Adecuado
Zenith,Summit, apex,Cenit
Pliable,Supple, flexible,Flexible
Advocate,Support, recommend,Defensor
Determined,Sure, convinced,Determinado
Yield,Surrender ,abdicate,Producir
Intricate,Tangled, complicated,Intrincado
Insipid,Tasteless, vapid,Insípido
Moderate,Temperate, lenient,Moderar
Transient,Temporal, transitory,Transitorio
Gentle,Tender, mild,Amable
Sympathy,Tenderness, harmony,Simpatía
Taut,Tense, tight,Tenso
Cease,Terminate, desist,Cesar
Dreadful,Terrible, unpleasant,Terrible
Gratitude,Thankfulness, appreciation,Gratitud
Dense,Thick, heavy,Denso
Judicious,Thoughtful, prudent,Juicioso
Optional,Voluntary, elective,Opcional
Base,Vulgar, coarse,Base
Vagrant,Wander, roaming,Vagabundo
Feeble,Weak, frail,Débil
Fragile,Weak, infirm,Frágil
Dilute,Weaken, thin,Diluido
Tedious,Wearisome,Irksome,Tedioso
Peculiar,Weird, bizarre,Peculiar
Hospitable,Welcoming, cordial,Hospitalario
Total,Whole, entire,Total
Entirely,Wholly, completely,Enteramente
Sorrow,Woe, anguish,Tristeza
Juvenile,Young, tender,Juvenil
